iter	Passed	Remaining
0	7	7387
1	14	7005
2	20	6846
3	27	6747
4	34	6788
5	41	6803
6	48	6832
7	54	6755
8	61	6728
9	67	6702
10	73	6619
11	79	6576
12	85	6503
13	91	6476
14	98	6448
15	104	6451
16	110	6416
17	117	6389
18	123	6396
19	130	6407
20	137	6426
21	144	6402
22	150	6397
23	157	6387
24	163	6369
25	169	6337
26	175	6315
27	181	6316
28	188	6319
29	194	6299
30	201	6299
31	208	6299
32	214	6288
33	221	6284
34	227	6269
35	233	6252
36	239	6228
37	246	6234
38	252	6226
39	258	6202
40	264	6184
41	270	6174
42	277	6178
43	283	6157
44	289	6139
45	295	6129
46	302	6133
47	309	6132
48	314	6111
49	320	6089
50	326	6075
51	331	6052
52	337	6031
53	343	6015
54	349	6004
55	355	5988
56	360	5964
57	366	5959
58	372	5943
59	378	5925
60	383	5906
61	389	5893
62	395	5875
63	400	5857
64	406	5850
65	413	5849
66	419	5835
67	425	5825
68	430	5814
69	436	5803
70	442	5790
71	448	5784
72	454	5773
73	459	5755
74	465	5739
75	471	5731
76	476	5716
77	482	5702
78	489	5700
79	494	5688
80	500	5677
81	506	5668
82	512	5660
83	517	5647
84	523	5633
85	529	5626
86	535	5616
87	540	5602
88	546	5596
89	553	5600
90	560	5600
91	566	5595
92	573	5589
93	579	5582
94	585	5579
95	592	5576
96	598	5574
97	605	5568
98	611	5562
99	616	5551
100	622	5539
101	627	5526
102	633	5517
103	639	5506
104	644	5495
105	651	5491
106	656	5479
107	662	5472
108	668	5466
109	674	5458
110	680	5449
111	687	5447
112	693	5441
113	699	5434
114	705	5428
115	711	5418
116	716	5411
117	722	5403
118	728	5392
119	733	5380
120	739	5372
121	745	5363
122	750	5352
123	757	5349
124	762	5338
125	769	5334
126	774	5324
127	780	5318
128	786	5307
129	791	5298
130	797	5291
131	804	5287
132	809	5276
133	815	5267
134	821	5266
135	827	5260
136	833	5251
137	839	5243
138	845	5236
139	850	5226
140	856	5220
141	863	5217
142	869	5209
143	874	5198
144	880	5191
145	886	5184
146	892	5176
147	897	5169
148	903	5161
149	909	5152
150	915	5145
151	921	5139
152	927	5133
153	932	5123
154	938	5113
155	944	5107
156	949	5098
157	955	5090
158	962	5089
159	968	5084
160	973	5075
161	979	5064
162	985	5058
163	991	5051
164	996	5043
165	1002	5035
166	1007	5026
167	1013	5016
168	1018	5009
169	1033	5047
170	1039	5041
171	1045	5034
172	1051	5025
173	1056	5017
174	1062	5009
175	1068	5004
176	1074	4997
177	1080	4990
178	1085	4980
179	1091	4973
180	1098	4971
181	1104	4962
182	1109	4952
183	1115	4946
184	1120	4938
185	1126	4929
186	1132	4922
187	1137	4914
188	1143	4905
189	1149	4899
190	1155	4892
191	1160	4883
192	1166	4876
193	1173	4874
194	1179	4868
195	1185	4863
196	1197	4882
197	1206	4888
198	1215	4892
199	1222	4891
200	1230	4892
201	1239	4895
202	1247	4896
203	1254	4894
204	1260	4889
205	1268	4891
206	1278	4896
207	1285	4894
208	1293	4894
209	1300	4893
210	1307	4887
211	1313	4882
212	1320	4877
213	1326	4872
214	1332	4865
215	1338	4857
216	1344	4851
217	1350	4844
218	1356	4837
219	1362	4829
220	1368	4824
221	1376	4822
222	1382	4816
223	1388	4810
224	1394	4802
225	1400	4797
226	1407	4791
227	1414	4788
228	1420	4781
229	1426	4775
230	1432	4768
231	1438	4761
232	1444	4753
233	1450	4746
234	1455	4738
235	1460	4728
236	1466	4721
237	1472	4713
238	1477	4705
239	1483	4699
240	1489	4691
241	1495	4682
242	1500	4673
243	1506	4667
244	1512	4661
245	1518	4653
246	1523	4645
247	1529	4638
248	1535	4630
249	1540	4622
250	1546	4615
251	1552	4606
252	1557	4598
253	1563	4592
254	1568	4583
255	1574	4576
256	1580	4568
257	1586	4561
258	1591	4554
259	1597	4546
260	1603	4539
261	1608	4531
262	1614	4523
263	1620	4516
264	1625	4508
265	1630	4500
266	1636	4493
267	1642	4485
268	1648	4480
269	1654	4472
270	1659	4465
271	1665	4457
272	1670	4449
273	1676	4443
274	1682	4435
275	1687	4427
276	1694	4422
277	1700	4415
278	1705	4407
279	1710	4399
280	1715	4390
281	1721	4383
282	1727	4376
283	1733	4369
284	1738	4361
285	1744	4354
286	1750	4347
287	1755	4339
288	1760	4330
289	1766	4324
290	1771	4316
291	1776	4308
292	1784	4306
293	1791	4301
294	1797	4295
295	1802	4288
296	1808	4281
297	1815	4275
298	1822	4273
299	1829	4268
300	1836	4264
301	1843	4259
302	1850	4257
303	1858	4255
304	1865	4251
305	1872	4246
306	1879	4241
307	1885	4237
308	1891	4230
309	1899	4227
310	1907	4226
311	1915	4224
312	1924	4224
313	1930	4218
314	1936	4211
315	1942	4204
316	1948	4197
317	1954	4191
318	1959	4183
319	1964	4175
320	1970	4168
321	1976	4160
322	1981	4153
323	1987	4146
324	1993	4139
325	1998	4132
326	2004	4125
327	2010	4119
328	2016	4112
329	2021	4104
330	2027	4097
331	2032	4089
332	2038	4082
333	2044	4075
334	2049	4068
335	2055	4062
336	2061	4055
337	2067	4048
338	2072	4041
339	2078	4034
340	2084	4028
341	2090	4021
342	2095	4013
343	2101	4006
344	2106	3999
345	2112	3992
346	2117	3985
347	2123	3978
348	2128	3971
349	2134	3964
350	2139	3956
351	2145	3949
352	2150	3942
353	2156	3934
354	2161	3927
355	2167	3920
356	2172	3913
357	2178	3906
358	2183	3899
359	2190	3893
360	2196	3887
361	2202	3880
362	2208	3874
363	2213	3868
364	2219	3860
365	2224	3854
366	2230	3847
367	2236	3840
368	2241	3833
369	2247	3827
370	2253	3821
371	2259	3813
372	2264	3807
373	2270	3800
374	2275	3792
375	2281	3786
376	2287	3780
377	2293	3773
378	2298	3766
379	2305	3761
380	2310	3753
381	2316	3747
382	2322	3740
383	2328	3734
384	2334	3729
385	2340	3722
386	2346	3716
387	2352	3710
388	2357	3702
389	2362	3695
390	2368	3688
391	2373	3681
392	2379	3675
393	2385	3668
394	2391	3662
395	2396	3655
396	2402	3649
397	2408	3643
398	2413	3635
399	2419	3629
400	2424	3621
401	2430	3614
402	2435	3608
403	2441	3601
404	2446	3594
405	2452	3587
406	2457	3581
407	2463	3574
408	2469	3568
409	2475	3562
410	2481	3556
411	2487	3550
412	2493	3543
413	2498	3536
414	2504	3530
415	2510	3524
416	2516	3517
417	2521	3511
418	2527	3504
419	2533	3498
420	2538	3491
421	2544	3484
422	2549	3478
423	2555	3471
424	2560	3464
425	2566	3457
426	2571	3451
427	2577	3444
428	2583	3438
429	2589	3431
430	2594	3425
431	2600	3418
432	2606	3413
433	2613	3407
434	2618	3401
435	2624	3394
436	2629	3388
437	2635	3381
438	2640	3374
439	2646	3368
440	2651	3361
441	2657	3354
442	2663	3348
443	2668	3341
444	2673	3334
445	2680	3329
446	2685	3322
447	2691	3316
448	2697	3310
449	2703	3303
450	2708	3297
451	2714	3291
452	2721	3286
453	2727	3279
454	2732	3273
455	2738	3266
456	2744	3260
457	2749	3254
458	2755	3247
459	2761	3241
460	2766	3234
461	2772	3228
462	2778	3222
463	2784	3216
464	2789	3209
465	2795	3203
466	2801	3197
467	2807	3191
468	2812	3184
469	2818	3178
470	2824	3171
471	2829	3165
472	2835	3158
473	2840	3152
474	2846	3145
475	2851	3139
476	2857	3132
477	2863	3126
478	2868	3120
479	2874	3114
480	2881	3108
481	2886	3101
482	2892	3095
483	2897	3089
484	2902	3082
485	2908	3076
486	2914	3069
487	2919	3063
488	2925	3057
489	2932	3051
490	2937	3045
491	2943	3039
492	2949	3032
493	2954	3026
494	2960	3019
495	2965	3013
496	2971	3007
497	2977	3001
498	2982	2994
499	2988	2988
500	2993	2981
501	2999	2975
502	3005	2969
503	3011	2964
504	3017	2958
505	3024	2952
506	3029	2946
507	3035	2939
508	3040	2933
509	3046	2926
510	3051	2920
511	3057	2914
512	3063	2908
513	3068	2901
514	3074	2895
515	3079	2888
516	3085	2882
517	3090	2876
518	3096	2869
519	3102	2863
520	3107	2857
521	3113	2850
522	3119	2845
523	3124	2838
524	3131	2832
525	3137	2826
526	3142	2820
527	3148	2814
528	3154	2808
529	3160	2802
530	3166	2796
531	3171	2789
532	3177	2783
533	3182	2777
534	3188	2771
535	3194	2765
536	3199	2759
537	3205	2752
538	3211	2746
539	3216	2740
540	3222	2734
541	3227	2727
542	3234	2722
543	3240	2716
544	3245	2709
545	3251	2703
546	3256	2697
547	3262	2690
548	3267	2684
549	3274	2679
550	3280	2673
551	3285	2666
552	3292	2661
553	3297	2654
554	3303	2648
555	3309	2642
556	3315	2636
557	3320	2630
558	3326	2623
559	3331	2617
560	3337	2611
561	3343	2605
562	3348	2599
563	3354	2592
564	3359	2586
565	3365	2580
566	3372	2575
567	3378	2569
568	3384	2563
569	3391	2558
570	3398	2553
571	3404	2547
572	3409	2541
573	3415	2534
574	3421	2528
575	3427	2523
576	3433	2516
577	3439	2510
578	3444	2504
579	3450	2498
580	3455	2492
581	3461	2486
582	3467	2479
583	3472	2473
584	3478	2467
585	3484	2461
586	3489	2455
587	3495	2449
588	3501	2443
589	3506	2436
590	3511	2430
591	3517	2424
592	3522	2417
593	3528	2411
594	3534	2405
595	3539	2399
596	3545	2393
597	3551	2387
598	3556	2380
599	3562	2374
600	3568	2368
601	3573	2362
602	3580	2357
603	3586	2351
604	3592	2345
605	3597	2339
606	3603	2332
607	3608	2326
608	3614	2320
609	3619	2314
610	3625	2307
611	3630	2301
612	3636	2295
613	3642	2289
614	3648	2284
615	3654	2277
616	3659	2271
617	3665	2265
618	3671	2259
619	3676	2253
620	3682	2247
621	3687	2241
622	3693	2234
623	3698	2228
624	3705	2223
625	3710	2216
626	3715	2210
627	3722	2204
628	3727	2198
629	3732	2192
630	3738	2186
631	3744	2180
632	3749	2174
633	3755	2168
634	3761	2162
635	3766	2155
636	3772	2149
637	3778	2143
638	3783	2137
639	3789	2131
640	3795	2125
641	3800	2119
642	3806	2113
643	3812	2107
644	3817	2101
645	3823	2095
646	3828	2088
647	3834	2082
648	3840	2077
649	3846	2071
650	3852	2065
651	3858	2059
652	3864	2053
653	3870	2047
654	3875	2041
655	3880	2035
656	3886	2028
657	3892	2022
658	3897	2016
659	3902	2010
660	3908	2004
661	3914	1998
662	3919	1992
663	3925	1986
664	3931	1980
665	3936	1973
666	3942	1968
667	3947	1962
668	3953	1956
669	3959	1950
670	3964	1944
671	3970	1937
672	3976	1932
673	3982	1926
674	3988	1920
675	3993	1914
676	3999	1908
677	4004	1901
678	4010	1895
679	4016	1889
680	4021	1883
681	4027	1877
682	4032	1871
683	4038	1865
684	4043	1859
685	4049	1853
686	4055	1847
687	4061	1841
688	4066	1835
689	4072	1829
690	4077	1823
691	4083	1817
692	4088	1811
693	4094	1805
694	4100	1799
695	4105	1793
696	4110	1787
697	4116	1781
698	4122	1775
699	4128	1769
700	4133	1763
701	4138	1756
702	4144	1751
703	4150	1744
704	4155	1738
705	4161	1732
706	4167	1726
707	4172	1720
708	4178	1714
709	4184	1708
710	4189	1702
711	4194	1696
712	4200	1690
713	4205	1684
714	4210	1678
715	4216	1672
716	4221	1666
717	4227	1660
718	4233	1654
719	4238	1648
720	4243	1642
721	4250	1636
722	4255	1630
723	4261	1624
724	4268	1618
725	4273	1612
726	4278	1606
727	4284	1600
728	4290	1594
729	4295	1588
730	4301	1582
731	4307	1577
732	4313	1571
733	4318	1564
734	4324	1559
735	4329	1553
736	4335	1546
737	4340	1541
738	4346	1535
739	4351	1528
740	4357	1523
741	4363	1517
742	4369	1511
743	4374	1505
744	4380	1499
745	4385	1493
746	4391	1487
747	4397	1481
748	4403	1475
749	4408	1469
750	4414	1463
751	4419	1457
752	4424	1451
753	4430	1445
754	4436	1439
755	4441	1433
756	4447	1427
757	4452	1421
758	4457	1415
759	4463	1409
760	4468	1403
761	4475	1397
762	4480	1391
763	4486	1385
764	4491	1379
765	4497	1373
766	4503	1367
767	4508	1361
768	4513	1355
769	4519	1350
770	4526	1344
771	4531	1338
772	4537	1332
773	4543	1326
774	4548	1320
775	4554	1314
776	4560	1308
777	4565	1302
778	4571	1296
779	4577	1291
780	4583	1285
781	4588	1279
782	4594	1273
783	4600	1267
784	4605	1261
785	4611	1255
786	4616	1249
787	4622	1243
788	4627	1237
789	4633	1231
790	4638	1225
791	4643	1219
792	4649	1213
793	4654	1207
794	4660	1201
795	4667	1196
796	4672	1190
797	4678	1184
798	4684	1178
799	4689	1172
800	4694	1166
801	4700	1160
802	4705	1154
803	4711	1148
804	4716	1142
805	4721	1136
806	4727	1130
807	4732	1124
808	4738	1118
809	4744	1112
810	4749	1106
811	4755	1101
812	4760	1095
813	4766	1089
814	4772	1083
815	4778	1077
816	4783	1071
817	4789	1065
818	4794	1059
819	4800	1053
820	4806	1047
821	4811	1041
822	4817	1035
823	4822	1030
824	4828	1024
825	4834	1018
826	4839	1012
827	4845	1006
828	4851	1000
829	4856	994
830	4862	988
831	4867	982
832	4873	977
833	4879	971
834	4885	965
835	4890	959
836	4895	953
837	4901	947
838	4906	941
839	4911	935
840	4917	929
841	4922	923
842	4928	917
843	4934	912
844	4940	906
845	4946	900
846	4951	894
847	4957	888
848	4962	882
849	4967	876
850	4973	870
851	4979	864
852	4984	859
853	4990	853
854	4995	847
855	5001	841
856	5006	835
857	5011	829
858	5017	823
859	5022	817
860	5028	811
861	5033	805
862	5039	799
863	5044	794
864	5050	788
865	5056	782
866	5061	776
867	5067	770
868	5073	764
869	5078	758
870	5085	753
871	5090	747
872	5096	741
873	5101	735
874	5107	729
875	5113	723
876	5118	717
877	5124	712
878	5130	706
879	5135	700
880	5140	694
881	5147	688
882	5152	682
883	5158	676
884	5164	671
885	5170	665
886	5176	659
887	5182	653
888	5188	647
889	5193	641
890	5198	635
891	5204	630
892	5210	624
893	5216	618
894	5221	612
895	5227	606
896	5233	600
897	5238	595
898	5245	589
899	5251	583
900	5256	577
901	5261	571
902	5267	565
903	5273	559
904	5278	554
905	5284	548
906	5290	542
907	5296	536
908	5302	530
909	5307	524
910	5313	519
911	5318	513
912	5324	507
913	5329	501
914	5335	495
915	5341	489
916	5346	483
917	5352	478
918	5358	472
919	5363	466
920	5369	460
921	5375	454
922	5380	448
923	5386	443
924	5391	437
925	5397	431
926	5402	425
927	5408	419
928	5414	413
929	5419	407
930	5424	402
931	5430	396
932	5436	390
933	5441	384
934	5447	378
935	5452	372
936	5458	366
937	5464	361
938	5469	355
939	5475	349
940	5481	343
941	5486	337
942	5493	332
943	5498	326
944	5504	320
945	5509	314
946	5515	308
947	5520	302
948	5525	296
949	5531	291
950	5537	285
951	5542	279
952	5548	273
953	5553	267
954	5559	261
955	5564	256
956	5570	250
957	5575	244
958	5581	238
959	5588	232
960	5594	227
961	5599	221
962	5604	215
963	5610	209
964	5616	203
965	5621	197
966	5628	192
967	5633	186
968	5638	180
969	5644	174
970	5649	168
971	5654	162
972	5660	157
973	5666	151
974	5672	145
975	5677	139
976	5683	133
977	5688	127
978	5694	122
979	5700	116
980	5705	110
981	5711	104
982	5717	98
983	5723	93
984	5729	87
985	5735	81
986	5740	75
987	5746	69
988	5752	63
989	5757	58
990	5764	52
991	5769	46
992	5775	40
993	5780	34
994	5785	29
995	5791	23
996	5797	17
997	5803	11
998	5808	5
999	5814	0
